0,22.9,98698,2019-09-29 22:52
0,22.9,98654,2019-09-29 23:23
0,22.8,98629,2019-09-29 23:54
0,22.8,98591,2019-09-30 00:25
0,22.8,98568,2019-09-30 00:56
1,22.8,98526,2019-09-30 01:27
1,22.7,98482,2019-09-30 01:58
1,22.7,98458,2019-09-30 02:29
1,22.6,98428,2019-09-30 03:00
1,22.6,98417,2019-09-30 03:31
1,22.5,98395,2019-09-30 04:02
1,22.6,98385,2019-09-30 04:33
1,22.5,98380,2019-09-30 05:04
1,22.5,98357,2019-09-30 05:36
1,22.4,98374,2019-09-30 06:07
0,22.3,98401,2019-09-30 06:38
0,22.6,98450,2019-09-30 07:09
0,22.7,98477,2019-09-30 07:40
0,22.9,98547,2019-09-30 08:11
0,22.9,98595,2019-09-30 08:42
0,22.9,98651,2019-09-30 09:13
0,23.2,98687,2019-09-30 09:44
0,23.9,98738,2019-09-30 10:15
0,24.1,98818,2019-09-30 10:46
0,24.3,98861,2019-09-30 11:17
0,24.9,98920,2019-09-30 11:48
0,25.2,98973,2019-09-30 12:19
0,25.2,99033,2019-09-30 12:50
0,25.9,99060,2019-09-30 13:21
0,24.9,99118,2019-09-30 13:52
0,25.1,99189,2019-09-30 14:23
0,24.4,99260,2019-09-30 14:54
0,24.5,99298,2019-09-30 15:25
0,24.4,99311,2019-09-30 15:56
0,23.8,99357,2019-09-30 16:27
0,23.5,99364,2019-09-30 16:58
0,23.4,99418,2019-09-30 17:07
0,23.2,99470,2019-09-30 17:38
0,22.9,99501,2019-09-30 18:09
0,22.7,99528,2019-09-30 18:40
0,22.5,99636,2019-09-30 19:11
0,22.4,99630,2019-09-30 19:42
0,22.4,99676,2019-09-30 20:13
0,22.3,99683,2019-09-30 20:44
0,22.2,99742,2019-09-30 21:16
0,21.9,99759,2019-09-30 21:47
0,21.8,99788,2019-09-30 22:18
0,21.7,99823,2019-09-30 22:49
0,21.7,99821,2019-09-30 23:20
0,21.6,99834,2019-09-30 23:51
0,21.6,99836,2019-10-01 00:22
0,21.6,99839,2019-10-01 00:53
0,21.7,99848,2019-10-01 01:24
0,21.6,99840,2019-10-01 01:55
0,21.6,99832,2019-10-01 02:26
0,21.5,99818,2019-10-01 02:57
0,21.5,99802,2019-10-01 03:28
0,21.5,99759,2019-10-01 03:59
0,21.5,99741,2019-10-01 04:30
0,21.5,99698,2019-10-01 05:01
0,21.5,99692,2019-10-01 05:32
0,21.4,99661,2019-10-01 06:03
0,21.5,99651,2019-10-01 06:34
0,21.3,99668,2019-10-01 07:05
0,21.2,99648,2019-10-01 07:36
0,21.3,99660,2019-10-01 08:07
0,21.3,99640,2019-10-01 08:38
0,21.5,99641,2019-10-01 09:09
0,21.7,99631,2019-10-01 09:40
0,21.9,99605,2019-10-01 10:11
0,22.2,99600,2019-10-01 10:42
0,22.4,99562,2019-10-01 11:13
0,22.5,99533,2019-10-01 11:44
0,22.6,99474,2019-10-01 12:15
0,22.5,99473,2019-10-01 12:46
0,22.3,99447,2019-10-01 13:17
0,22.3,99417,2019-10-01 13:48
0,22.3,99393,2019-10-01 14:19
0,22.2,99375,2019-10-01 14:50
0,22.1,99335,2019-10-01 15:21
0,22.1,99340,2019-10-01 15:52
0,22.1,99350,2019-10-01 16:23
0,21.8,99352,2019-10-01 16:55
0,21.7,99329,2019-10-01 17:26
0,21.5,99350,2019-10-01 17:57
0,21.4,99365,2019-10-01 18:28
0,21.3,99352,2019-10-01 18:59
0,21.3,99355,2019-10-01 19:30
0,21.2,99377,2019-10-01 20:01
0,21.2,99374,2019-10-01 20:32
0,21.1,99391,2019-10-01 21:03
0,21.1,99391,2019-10-01 21:34
0,21.1,99397,2019-10-01 22:05
0,20.9,99400,2019-10-01 22:36
0,21.2,99395,2019-10-01 23:07
0,21.3,99398,2019-10-01 23:38
0,21.3,99401,2019-10-02 00:09
0,21.3,99419,2019-10-02 00:40
0,21.2,99433,2019-10-02 00:29
0,21.2,99438,2019-10-02 01:34
0,21.2,99427,2019-10-02 02:05
0,21.2,99414,2019-10-02 02:36
